SNPidentifier	variable	BF	rho_Spearman	chr	cM	order	allele1	allele2	missing	MAF
BOPA2_12_30895	lat	24.491	0.189	7	37.751	7230	C	G	0	0.43
3256155|F|0	lat	24.189	-0.136	6	32.68	6038	G	T	13	0.361
3257645|F|0	lat	24.182	0.149	7	72.52	7467	A	G	12	0.171
BOPA1_946-2500	lon	24.124	0.151	2	49.43	1260	A	G	3	0.333
3256603|F|0	bal_jun	23.765	0.142	5	59.53	5041	A	T	3	0.182
SCRI_RS_144592	lon	23.431	-0.15	2	49.43	1263	C	T	0	0.333
BOPA1_10535-217	lon	23.025	-0.134	6	114.24	6918	A	G	0	0.178
BOPA1_3800-814	lon	22.094	-0.146	5	103.46	5185	A	T	2	0.429
BOPA1_4361-1867	lon	21.845	-0.126	4	101.52	4218	A	G	2	0.278
BOPA1_5595-297	frost_jan_feb	21.152	-0.137	7	127.15	8092	A	T	0	0.496
BOPA1_4025-300	bal_jun	21.119	0.133	3	97.75	3182	A	T	0	0.326
BOPA1_6841-637	frost_jan_feb	20.453	-0.131	4	89.39	4198	A	C	0	0.252
3259142|F|0	lat	18.332	0.148	7	127.15	8082	A	G	6	0.403
3255833|F|0	pcp_win	18.13	0.131	3	47.2	2642	C	T	5	0.492
3257624|F|0	frost_jan_feb	16.802	0.144	7	127.15	8091	A	G	6	0.481
SCRI_RS_236528	lat	16.51	-0.147	3	98.35	3206	A	G	0	0.163
BOPA1_8758-564	pcp_aut	16.367	0.129	7	120.53	8036	A	G	0	0.141
SCRI_RS_167463	lon	15.766	0.17	3	57.32	2850	A	C	0	0.393
SCRI_RS_204491	lon	15.766	0.17	3	57.32	2852	C	T	0	0.393
BOPA1_2601-171	bal_jun	15.685	0.14	2	49.43	1262	C	G	0	0.415
3258527|F|0	alt	15.584	-0.142	5	87.29	5181	C	T	9	0.167
3261860|F|0	tamp_spr	15.392	-0.126	2	121.46	2203	A	C	12	0.39
SCRI_RS_221759	lat	15.2	0.142	1	44.84	193	C	T	4	0.427
SCRI_RS_67	lon	15.191	0.178	3	57.32	2835	A	C	3	0.379
3261758|F|0	lat	14.866	-0.149	2	31.37	1109	A	G	4	0.374
BOPA1_2601-171	lon	14.413	0.16	2	49.43	1262	C	G	0	0.415
3261758|F|0	pcp_may_jun	14.28	-0.123	2	31.37	1109	A	G	4	0.374
3255420|F|0	lat	14.218	-0.127	7	72.52	7440	A	C	2	0.211
SCRI_RS_220192	pcp_win	14.099	0.109	3	58.51	2831	A	C	0	0.43
SCRI_RS_236528	lon	13.959	-0.13	3	98.35	3206	A	G	0	0.163
SCRI_RS_186444	verna_jan_feb	13.897	0.171	3	22.58	2385	A	G	2	0.429
SCRI_RS_142964	lon	13.812	-0.15	3	96.53	8310	A	G	0	0.467
SCRI_RS_200964	lon	13.58	0.119	4	83.39	4147	C	T	0	0.304
3256787|F|0	lat	13.496	0.145	3	95.93	3180	A	C	2	0.481
SCRI_RS_226361	bal_aut	13.299	-0.141	7	2.41	5001	A	C	0	0.459
3256968|F|0	lat	13.226	-0.14	6	30.81	6037	G	T	6	0.496
3255919|F|0	frost_jan_feb	13.18	-0.139	2	0.6	890	C	T	2	0.293
BOPA1_946-2500	bal_jun	12.989	0.153	2	49.43	1260	A	G	3	0.333
BOPA1_166-154	lat	12.983	-0.134	5	0	4432	A	G	0	0.4
BOPA2_12_10979	verna_mar_apr	12.81	-0.111	7	43.38	7253	A	G	0	0.089
BOPA2_12_10979	verna_30d	12.799	-0.106	7	43.38	7253	A	G	0	0.089
3257013|F|0	lon	12.617	-0.14	1	45.44	242	G	T	8	0.37
3259100|F|0	lat	12.45	-0.133	3	102.01	3228	C	T	3	0.129
BOPA1_1977-1385	pcp_win	12.436	-0.133	3	47.2	2732	A	G	0	0.496
SCRI_RS_226361	pcp_aut	12.257	-0.145	7	2.41	5001	A	C	0	0.459
SCRI_RS_182331	lat	12.159	0.149	7	127.15	8098	A	G	0	0.43
BOPA1_2322-462	frost_jan_feb	12.092	-0.131	2	70.32	1609	A	C	2	0.331
3255919|F|0	pfrost_01	11.745	-0.116	2	0.6	890	C	T	2	0.293
BOPA1_ConsensusGBS0033-1	bal_jun	11.184	0.166	2	63.77	1542	A	G	0	0.496
3254874|F|0	lon	10.929	0.151	5	58.93	5022	A	G	6	0.395
3256699|F|0	frost_jan_feb	10.926	-0.115	2	31.37	1108	A	T	11	0.363
BOPA1_5194-1118	lon	10.734	-0.121	1	28.49	117	C	G	0	0.341
SCRI_RS_123364	frost_jan_feb	10.517	-0.126	2	127.47	2267	A	C	0	0.4
BOPA1_2322-462	pfrost_01	10.112	-0.125	2	70.32	1609	A	C	2	0.331
3255833|F|0	pcp_aut	10.095	0.127	3	47.2	2642	C	T	5	0.492
SCRI_RS_225540	lon	9.923	0.147	3	58.51	2866	A	C	0	0.452
SCRI_RS_150016	lat	9.739	0.159	7	50.78	7298	C	T	0	0.311
3256997|F|0	pcp_may_jun	9.539	0.132	2	108.11	2058	C	T	3	0.197
SCRI_RS_163092	lat	9.488	0.129	3	95.93	3195	C	T	3	0.417
3259096|F|0	lat	9.471	0.139	3	95.93	3181	C	T	8	0.472
SCRI_RS_225540	pcp_win	9.359	-0.144	3	58.51	2866	A	C	0	0.452
BOPA2_12_30979	lat	9.35	0.142	5	0	4438	C	G	0	0.378
BOPA1_ConsensusGBS0033-1	pcp_may_jun	9.308	0.155	2	63.77	1542	A	G	0	0.496
3256788|F|0	lat	8.542	0.126	5	101.67	5256	A	T	12	0.333
3256603|F|0	lon	7.931	0.146	5	59.53	5041	A	T	3	0.182
3262822|F|0	frost_jan_feb	7.037	-0.117	5	78.89	5106	A	G	12	0.35
3260160|F|0	bal_jun	6.876	-0.113	5	59.53	5043	C	G	2	0.098
