SNPidentifier	variable	BF	rho_Spearman	chr	bp	order	allele1	allele2	missing	MAF
BOPA1_2601-171	bal_jun	10.334	0.138	2	118999963	1262	C	G	0	0.415
3260160|F|0	lon	10.147	-0.149	5	529566810	5043	C	G	2	0.098
BOPA1_ConsensusGBS0033-1	bal_jun	9.997	0.159	2	636292564	1542	A	G	0	0.496
BOPA1_166-154	lat	9.958	-0.136	5	2540830	4432	A	G	0	0.4
BOPA1_3800-814	lon	9.876	-0.155	5	581323746	5185	A	T	2	0.429
BOPA1_8758-564	pcp_aut	9.788	0.119	7	642239684	8036	A	G	0	0.141
SCRI_RS_167463	lon	9.712	0.168	3	530137909	2850	A	C	0	0.393
SCRI_RS_204491	lon	9.712	0.168	3	530329160	2852	C	T	0	0.393
3256787|F|0	lat	9.692	0.131	3	623329370	3180	A	C	2	0.481
3258527|F|0	alt	9.596	-0.152	5	560733461	5181	C	T	9	0.167
BOPA1_4361-1867	lon	9.528	-0.132	4	608851463	4218	A	G	2	0.278
3261758|F|0	lat	9.518	-0.155	2	46833552	1109	A	G	4	0.374
BOPA2_12_10979	verna_mar_apr	9.492	-0.118	7	48001408	7253	A	G	0	0.089
BOPA1_4025-300	bal_jun	9.489	0.123	3	624282766	3182	A	T	0	0.326
SCRI_RS_236528	lat	9.404	-0.147	3	624984282	3206	A	G	0	0.163
3256699|F|0	frost_jan_feb	9.357	-0.132	2	46833315	1108	A	T	11	0.363
SCRI_RS_67	lon	9.274	0.167	3	531632662	2835	A	C	3	0.379
3256155|F|0	lat	8.975	-0.146	6	24975186	6038	G	T	13	0.361
SCRI_RS_236528	lon	8.867	-0.138	3	624984282	3206	A	G	0	0.163
3255420|F|0	lat	8.718	-0.148	7	165720498	7440	A	C	2	0.211
SCRI_RS_163092	lat	8.595	0.114	3	623376840	3195	C	T	3	0.417
3255833|F|0	pcp_win	8.501	0.124	3	468265808	2642	C	T	5	0.492
SCRI_RS_221759	lat	8.487	0.136	1	59714197	193	C	T	4	0.427
BOPA2_12_10979	verna_30d	8.473	-0.114	7	48001408	7253	A	G	0	0.089
3256997|F|0	pcp_may_jun	8.446	0.123	2	727985403	2058	C	T	3	0.197
BOPA1_2322-462	pfrost_01	8.432	-0.134	2	651058680	1609	A	C	2	0.331
SCRI_RS_150016	lat	8.4	0.152	7	57649762	7298	C	T	0	0.311
BOPA1_1977-1385	pcp_win	8.337	-0.137	3	469772024	2732	A	G	0	0.496
BOPA1_5194-1118	lon	8.323	-0.125	1	18807476	117	C	G	0	0.341
SCRI_RS_161744	lon	8.298	-0.172	3	530420236	2849	C	G	0	0.393
SCRI_RS_187102	lon	8.298	-0.172	3	530135231	2847	A	G	0	0.393
SCRI_RS_182331	lat	8.227	0.14	7	647073394	8098	A	G	0	0.43
SCRI_RS_225540	lon	8.205	0.133	3	536074374	2866	A	C	0	0.452
SCRI_RS_142964	lon	8.2	-0.155	3	624132689	8310	A	G	0	0.467
SCRI_RS_226361	bal_aut	8.169	-0.143	7	5169009	5001	A	C	0	0.459
BOPA1_10535-217	lon	8.157	-0.137	6	575071734	6918	A	G	0	0.178
BOPA1_2601-171	lon	8.107	0.153	2	118999963	1262	C	G	0	0.415
SCRI_RS_186444	verna_jan_feb	8.072	0.164	3	27751294	2385	A	G	2	0.429
3255919|F|0	frost_jan_feb	7.739	-0.146	2	1839603	890	C	T	2	0.293
SCRI_RS_225540	pcp_win	7.729	-0.146	3	536074374	2866	A	C	0	0.452
3259096|F|0	lat	7.625	0.137	3	623329179	3181	C	T	8	0.472
SCRI_RS_123364	frost_jan_feb	7.556	-0.129	2	763961642	2267	A	C	0	0.4
3257013|F|0	lon	7.51	-0.143	1	330111075	242	G	T	8	0.37
SCRI_RS_206827	lon	7.505	-0.145	6	575038313	6932	A	G	0	0.207
BOPA2_12_30979	lat	7.342	0.13	5	2540340	4438	C	G	0	0.378
SCRI_RS_200964	lon	7.338	0.114	4	590411676	4147	C	T	0	0.304
SCRI_RS_220192	pcp_win	7.207	0.107	3	535469653	2831	A	C	0	0.43
3257624|F|0	frost_jan_feb	7.111	0.137	7	647041521	8091	A	G	6	0.481
3261860|F|0	tamp_spr	7.013	-0.137	2	751637704	2203	A	C	12	0.39
3255833|F|0	pcp_aut	7.01	0.121	3	468265808	2642	C	T	5	0.492
3256788|F|0	lat	6.95	0.119	5	577279273	5256	A	T	12	0.333
3255919|F|0	pfrost_01	6.744	-0.127	2	1839603	890	C	T	2	0.293
3260160|F|0	bal_jun	6.53	-0.127	5	529566810	5043	C	G	2	0.098
BOPA1_ConsensusGBS0033-1	pcp_may_jun	6.514	0.147	2	636292564	1542	A	G	0	0.496
SCRI_RS_226361	pcp_aut	6.39	-0.15	7	5169009	5001	A	C	0	0.459
3256603|F|0	lon	6.194	0.145	5	529391447	5041	A	T	3	0.182
3254874|F|0	lon	6.179	0.144	5	527381985	5022	A	G	6	0.395
3259100|F|0	lat	5.984	-0.142	3	631022879	3228	C	T	3	0.129
3262822|F|0	frost_jan_feb	5.939	-0.124	5	555421891	5106	A	G	12	0.35
BOPA1_2322-462	frost_jan_feb	5.824	-0.137	2	651058680	1609	A	C	2	0.331
